City,Locality,Budget,Eating Preference,Cleanliness Spook,Smoke/Drink,Saturday Twin,Guest/Host,Gender
Mumbai,Borivali/Kandivali/Malad,<15000,Vegan,Organised,Both,Chill stay at home,I like being the guest,Male
Noida,Sector 50,<15000,Pescetarian,Chaotic,Drink,Based on my vibe,I like hosting,Female
Delhi,East Delhi,25000-30000,Pescetarian,Chaotic,Neither,House Party Scenes,I like being the guest,Male
Delhi,South Delhi,30000-40000,Vegan,Organised,Both,Chill stay at home,I like hosting,Female
Bangalore,Haralur,<15000,Non Vegetarian,Organised,Smoke,Chill stay at home,I like hosting,Female
Bangalore,Whitefield,30000-40000,Vegetarian,Messy but not unhygienic,Neither,Based on my vibe,I like hosting,Female
Gurgaon,Sushant Lok,25000-30000,Vegan,Chaotic,Drink,Chill stay at home,I like hosting,Male
Bangalore,Marathalli,25000-30000,Vegan,Organised,Drink,Chill stay at home,I like hosting,Female
Bangalore,Electronic city,20000-25000,Pescetarian,Messy but not unhygienic,Neither,Chill stay at home,I like being the guest,Male
Delhi,North Delhi,25000-30000,Pescetarian,Let the dust rot,Neither,House Party Scenes,I like hosting,Female
Noida,Sector 62,30000-40000,Vegan,OCD,Smoke,Chill stay at home,I like being the guest,Male
Mumbai,Bandra,40000+,Non Vegetarian,Messy but not unhygienic,Smoke,Clubbing/Going Out,I like hosting,Male
Bangalore,Haralur,15000-20000,Non Vegetarian,Messy but not unhygienic,Drink,Chill stay at home,I like hosting,Female
Mumbai,Vile Parle,<15000,Pescetarian,Chaotic,Drink,House Party Scenes,I like hosting,Male
Gurgaon,Sector 48,<15000,Non Vegetarian,Organised,Neither,House Party Scenes,I like hosting,Male
Gurgaon,Sector 43,25000-30000,Pescetarian,Chaotic,Both,Clubbing/Going Out,I like hosting,Female
Gurgaon,Golf Course Extension,40000+,Non Vegetarian,Chaotic,Drink,Chill stay at home,I like being the guest,Male
Mumbai,Borivali/Kandivali/Malad,<15000,Veg + Eggs,OCD,Neither,House Party Scenes,I like being the guest,Male
Delhi,South Delhi,40000+,Pescetarian,Organised,Neither,Chill stay at home,I like being the guest,Female
Mumbai,Goregon,15000-20000,Non Vegetarian,Messy but not unhygienic,Drink,Clubbing/Going Out,I like hosting,Male
Noida,Sector 76/77/78,30000-40000,Pescetarian,Chaotic,Drink,House Party Scenes,I like hosting,Female
Gurgaon,Sector 55/56,20000-25000,Vegetarian,Organised,Smoke,Chill stay at home,I like being the guest,Female
Bangalore,Marathalli,15000-20000,Vegan,Messy but not unhygienic,Neither,House Party Scenes,I like being the guest,Male
Gurgaon,DLF4,40000+,Veg + Eggs,OCD,Drink,House Party Scenes,I like hosting,Male
Delhi,Central Delhi,30000-40000,Vegan,Let the dust rot,Both,Clubbing/Going Out,I like hosting,Male
Delhi,North Delhi,30000-40000,Non Vegetarian,Organised,Drink,Chill stay at home,I like hosting,Male
Noida,Noida Ext/Gtr Noida Wst,25000-30000,Veg + Eggs,Organised,Smoke,Clubbing/Going Out,I like hosting,Female
Mumbai,Goregon,15000-20000,Vegan,Let the dust rot,Smoke,House Party Scenes,I like hosting,Female
Bangalore,Haralur,15000-20000,Veg + Eggs,Messy but not unhygienic,Neither,House Party Scenes,I like hosting,Male
Gurgaon,DLF 3,25000-30000,Non Vegetarian,Messy but not unhygienic,Drink,Clubbing/Going Out,I like being the guest,Female
Bangalore,Marathalli,<15000,Vegan,Messy but not unhygienic,Neither,Clubbing/Going Out,I like hosting,Male
Noida,Sector 62,25000-30000,Vegetarian,Messy but not unhygienic,Neither,House Party Scenes,I like hosting,Male
Bangalore,Whitefield,30000-40000,Vegan,OCD,Smoke,Chill stay at home,I like being the guest,Male
Noida,Sector 18,15000-20000,Non Vegetarian,Organised,Drink,Clubbing/Going Out,I like hosting,Male
Delhi,South Delhi,15000-20000,Non Vegetarian,Messy but not unhygienic,Drink,Chill stay at home,I like being the guest,Female
Bangalore,Kormangla,40000+,Non Vegetarian,Organised,Neither,Based on my vibe,I like hosting,Male
Delhi,Central Delhi,15000-20000,Vegetarian,OCD,Smoke,Chill stay at home,I like hosting,Male
Bangalore,Whitefield,20000-25000,Vegan,Organised,Smoke,House Party Scenes,I like being the guest,Male
Noida,Noida Ext/Gtr Noida Wst,30000-40000,Vegetarian,Let the dust rot,Drink,Chill stay at home,I like being the guest,Male
Delhi,East Delhi,15000-20000,Pescetarian,Chaotic,Neither,House Party Scenes,I like hosting,Male
Delhi,South Delhi,20000-25000,Veg + Eggs,Let the dust rot,Both,House Party Scenes,I like hosting,Male
Gurgaon,Golf Course Extension,30000-40000,Veg + Eggs,Chaotic,Smoke,Chill stay at home,I like hosting,Female
Gurgaon,DLF 5,30000-40000,Non Vegetarian,Organised,Drink,Clubbing/Going Out,I like being the guest,Male
Bangalore,Electronic city,25000-30000,Vegetarian,Messy but not unhygienic,Neither,Clubbing/Going Out,I like being the guest,Female
Noida,Sector 137,<15000,Vegetarian,Organised,Drink,House Party Scenes,I like being the guest,Female
Delhi,Central Delhi,<15000,Pescetarian,Messy but not unhygienic,Neither,Based on my vibe,I like hosting,Male
Mumbai,Borivali/Kandivali/Malad,30000-40000,Pescetarian,Organised,Both,Clubbing/Going Out,I like being the guest,Male
Bangalore,Haralur,25000-30000,Non Vegetarian,Organised,Drink,Chill stay at home,I like hosting,Male
Noida,Sector 15/16/27,<15000,Pescetarian,Let the dust rot,Neither,Clubbing/Going Out,I like hosting,Female
Delhi,Central Delhi,40000+,Vegetarian,Messy but not unhygienic,Neither,House Party Scenes,I like hosting,Male
Delhi,East Delhi,30000-40000,Veg + Eggs,Organised,Smoke,Clubbing/Going Out,I like being the guest,Male
Noida,Sector 62,25000-30000,Pescetarian,Messy but not unhygienic,Drink,Chill stay at home,I like hosting,Male
Delhi,East Delhi,<15000,Veg + Eggs,Let the dust rot,Neither,Based on my vibe,I like hosting,Male
Noida,Sector 76/77/78,20000-25000,Non Vegetarian,Organised,Drink,Chill stay at home,I like hosting,Male
Noida,Sector 18,<15000,Veg + Eggs,Messy but not unhygienic,Drink,Chill stay at home,I like being the guest,Female
Mumbai,Andheri W,20000-25000,Veg + Eggs,Messy but not unhygienic,Neither,Clubbing/Going Out,I like hosting,Female
Noida,Sector 76/77/78,15000-20000,Vegan,Messy but not unhygienic,Smoke,Chill stay at home,I like hosting,Female
Mumbai,Vile Parle,40000+,Vegetarian,Organised,Neither,Based on my vibe,I like hosting,Male
Gurgaon,Sector 55/56,25000-30000,Non Vegetarian,Let the dust rot,Smoke,Chill stay at home,I like hosting,Female
Delhi,North Delhi,25000-30000,Pescetarian,Let the dust rot,Drink,Chill stay at home,I like being the guest,Female
Delhi,Central Delhi,20000-25000,Non Vegetarian,Messy but not unhygienic,Smoke,Chill stay at home,I like hosting,Male
Noida,Sector 62,<15000,Veg + Eggs,Messy but not unhygienic,Drink,Based on my vibe,I like being the guest,Male
Gurgaon,Udyog Vihar,25000-30000,Non Vegetarian,Chaotic,Neither,Clubbing/Going Out,I like being the guest,Female
Delhi,North Delhi,<15000,Veg + Eggs,OCD,Drink,Based on my vibe,I like being the guest,Female
Delhi,Central Delhi,25000-30000,Pescetarian,Messy but not unhygienic,Drink,House Party Scenes,I like being the guest,Female
Bangalore,HSR Layout,20000-25000,Non Vegetarian,Organised,Drink,Chill stay at home,I like hosting,Female
Gurgaon,Sector 55/56,15000-20000,Non Vegetarian,Messy but not unhygienic,Neither,Chill stay at home,I like hosting,Male
Gurgaon,Udyog Vihar,25000-30000,Pescetarian,Chaotic,Drink,House Party Scenes,I like hosting,Male
Gurgaon,Udyog Vihar,<15000,Vegetarian,Messy but not unhygienic,Neither,Clubbing/Going Out,I like being the guest,Female
Gurgaon,Sector 50,15000-20000,Pescetarian,Let the dust rot,Neither,Chill stay at home,I like hosting,Female
Delhi,Central Delhi,15000-20000,Vegan,OCD,Smoke,Chill stay at home,I like being the guest,Female
Bangalore,Kormangla,30000-40000,Vegetarian,Messy but not unhygienic,Smoke,Based on my vibe,I like being the guest,Male
Noida,Sector 76/77/78,25000-30000,Veg + Eggs,Chaotic,Smoke,House Party Scenes,I like being the guest,Female
Delhi,Central Delhi,40000+,Non Vegetarian,Organised,Both,Chill stay at home,I like hosting,Male
Bangalore,Marathalli,15000-20000,Vegan,Organised,Neither,Based on my vibe,I like being the guest,Male
Mumbai,Andheri W,15000-20000,Pescetarian,Chaotic,Smoke,House Party Scenes,I like being the guest,Female
Delhi,East Delhi,20000-25000,Veg + Eggs,Chaotic,Smoke,Clubbing/Going Out,I like hosting,Female
Gurgaon,DLF 5,<15000,Veg + Eggs,Organised,Smoke,House Party Scenes,I like being the guest,Male
Delhi,South Delhi,30000-40000,Vegan,Messy but not unhygienic,Neither,House Party Scenes,I like being the guest,Female
Delhi,Central Delhi,20000-25000,Non Vegetarian,Organised,Drink,Based on my vibe,I like hosting,Male
Bangalore,Marathalli,<15000,Non Vegetarian,Organised,Both,Clubbing/Going Out,I like being the guest,Male
Bangalore,HSR Layout,20000-25000,Vegan,Messy but not unhygienic,Neither,House Party Scenes,I like hosting,Male
Bangalore,Marathalli,40000+,Vegan,OCD,Neither,Clubbing/Going Out,I like being the guest,Male
Noida,Sector 50,20000-25000,Pescetarian,Messy but not unhygienic,Smoke,Chill stay at home,I like hosting,Male
Gurgaon,DLF 5,30000-40000,Vegetarian,Chaotic,Neither,Clubbing/Going Out,I like hosting,Female
Mumbai,Vile Parle,30000-40000,Vegetarian,Messy but not unhygienic,Drink,Clubbing/Going Out,I like hosting,Male
Delhi,South Delhi,40000+,Veg + Eggs,Messy but not unhygienic,Neither,Chill stay at home,I like being the guest,Male
Mumbai,Marine/Colaba,40000+,Veg + Eggs,Organised,Drink,House Party Scenes,I like being the guest,Male
Noida,Sector 50,30000-40000,Vegetarian,Organised,Drink,House Party Scenes,I like being the guest,Male
Bangalore,HSR Layout,25000-30000,Pescetarian,Organised,Both,Clubbing/Going Out,I like hosting,Female
Mumbai,Marine/Colaba,25000-30000,Veg + Eggs,Messy but not unhygienic,Drink,House Party Scenes,I like being the guest,Male
Mumbai,Goregon,25000-30000,Pescetarian,Organised,Smoke,Clubbing/Going Out,I like being the guest,Female
Bangalore,Whitefield,40000+,Non Vegetarian,Chaotic,Both,Clubbing/Going Out,I like hosting,Male
Noida,Sector 18,25000-30000,Non Vegetarian,Organised,Neither,Chill stay at home,I like being the guest,Female
Gurgaon,DLF 5,30000-40000,Veg + Eggs,Organised,Neither,House Party Scenes,I like hosting,Male
Delhi,Central Delhi,25000-30000,Non Vegetarian,Messy but not unhygienic,Drink,House Party Scenes,I like hosting,Male
Delhi,East Delhi,15000-20000,Non Vegetarian,Chaotic,Smoke,House Party Scenes,I like being the guest,Female
Bangalore,Haralur,<15000,Pescetarian,Chaotic,Smoke,Clubbing/Going Out,I like being the guest,Female
Mumbai,Andheri W,25000-30000,Vegan,Organised,Neither,Based on my vibe,I like hosting,Female
Delhi,North Delhi,<15000,Non Vegetarian,Messy but not unhygienic,Smoke,Based on my vibe,I like being the guest,Female
Noida,Sector 18,<15000,Non Vegetarian,Organised,Drink,Chill stay at home,I like hosting,Female
Mumbai,Bandra,30000-40000,Vegan,Messy but not unhygienic,Both,House Party Scenes,I like being the guest,Male
Noida,Sector 137,15000-20000,Vegan,Chaotic,Both,House Party Scenes,I like hosting,Female
Delhi,South Delhi,25000-30000,Veg + Eggs,Messy but not unhygienic,Drink,Clubbing/Going Out,I like hosting,Male
Bangalore,Marathalli,<15000,Vegan,Chaotic,Both,Chill stay at home,I like being the guest,Female
Delhi,Central Delhi,20000-25000,Pescetarian,Let the dust rot,Neither,House Party Scenes,I like hosting,Female
Noida,Sector 76/77/78,40000+,Non Vegetarian,Chaotic,Drink,Chill stay at home,I like being the guest,Female
Mumbai,Lower Parel/Worli/Parel,20000-25000,Vegetarian,Organised,Neither,House Party Scenes,I like hosting,Female
Gurgaon,DLF 3,<15000,Pescetarian,Organised,Neither,House Party Scenes,I like being the guest,Female
Bangalore,Marathalli,15000-20000,Veg + Eggs,Organised,Neither,Chill stay at home,I like hosting,Male
Bangalore,Kormangla,30000-40000,Veg + Eggs,Organised,Drink,House Party Scenes,I like hosting,Female
Gurgaon,Sector 43,<15000,Pescetarian,OCD,Both,Clubbing/Going Out,I like hosting,Male
Delhi,South Delhi,20000-25000,Pescetarian,Chaotic,Both,Clubbing/Going Out,I like being the guest,Female
Delhi,East Delhi,25000-30000,Pescetarian,Organised,Neither,Clubbing/Going Out,I like hosting,Male
Gurgaon,Sushant Lok,25000-30000,Vegan,OCD,Smoke,Chill stay at home,I like hosting,Female
Delhi,South Delhi,30000-40000,Vegan,Messy but not unhygienic,Neither,House Party Scenes,I like hosting,Male
Delhi,South Delhi,20000-25000,Vegetarian,Chaotic,Neither,Chill stay at home,I like being the guest,Female
Delhi,East Delhi,15000-20000,Vegetarian,Messy but not unhygienic,Smoke,Clubbing/Going Out,I like being the guest,Female
Noida,Sector 50,25000-30000,Veg + Eggs,Organised,Smoke,Chill stay at home,I like hosting,Male
Noida,Noida Ext/Gtr Noida Wst,25000-30000,Vegan,Organised,Smoke,House Party Scenes,I like being the guest,Male
Gurgaon,Udyog Vihar,<15000,Pescetarian,Organised,Smoke,Chill stay at home,I like being the guest,Female
Delhi,Central Delhi,30000-40000,Non Vegetarian,Organised,Both,House Party Scenes,I like hosting,Male
Noida,Sector 62,<15000,Veg + Eggs,Organised,Drink,House Party Scenes,I like being the guest,Female
Delhi,Central Delhi,15000-20000,Vegan,Organised,Neither,Chill stay at home,I like hosting,Female
Noida,Sector 137,15000-20000,Non Vegetarian,Chaotic,Neither,Clubbing/Going Out,I like hosting,Male
Noida,Sector 50,15000-20000,Vegan,Organised,Neither,House Party Scenes,I like being the guest,Male
Mumbai,Bandra,20000-25000,Non Vegetarian,Organised,Smoke,Clubbing/Going Out,I like hosting,Female
Noida,Sector 18,20000-25000,Veg + Eggs,Organised,Drink,Clubbing/Going Out,I like hosting,Female
Mumbai,Borivali/Kandivali/Malad,15000-20000,Vegan,Organised,Neither,Clubbing/Going Out,I like hosting,Female
Gurgaon,DLF 2,<15000,Pescetarian,Messy but not unhygienic,Drink,Clubbing/Going Out,I like being the guest,Female
Delhi,North Delhi,15000-20000,Non Vegetarian,Messy but not unhygienic,Drink,Chill stay at home,I like hosting,Female
Bangalore,Whitefield,40000+,Vegetarian,Organised,Neither,House Party Scenes,I like being the guest,Female
Bangalore,Whitefield,40000+,Pescetarian,Messy but not unhygienic,Neither,Chill stay at home,I like being the guest,Male
Noida,Sector 76/77/78,15000-20000,Vegan,Organised,Neither,House Party Scenes,I like hosting,Female
Mumbai,Vile Parle,30000-40000,Non Vegetarian,Messy but not unhygienic,Both,Clubbing/Going Out,I like hosting,Male
Gurgaon,Golf Course Extension,25000-30000,Veg + Eggs,Organised,Neither,Chill stay at home,I like being the guest,Male
Bangalore,Electronic city,<15000,Veg + Eggs,OCD,Neither,Clubbing/Going Out,I like hosting,Female
Noida,Sector 137,15000-20000,Non Vegetarian,Messy but not unhygienic,Neither,Clubbing/Going Out,I like being the guest,Male
Bangalore,Kormangla,25000-30000,Non Vegetarian,Organised,Drink,House Party Scenes,I like being the guest,Male
Mumbai,Marine/Colaba,25000-30000,Pescetarian,Messy but not unhygienic,Smoke,Clubbing/Going Out,I like being the guest,Male
Delhi,North Delhi,30000-40000,Pescetarian,OCD,Drink,Clubbing/Going Out,I like being the guest,Male
Noida,Sector 76/77/78,<15000,Vegetarian,Organised,Drink,Clubbing/Going Out,I like being the guest,Male
Noida,Sector 15/16/27,<15000,Pescetarian,Organised,Neither,Based on my vibe,I like hosting,Female
Gurgaon,DLF 1,<15000,Vegetarian,Organised,Drink,Chill stay at home,I like being the guest,Male
Bangalore,Whitefield,15000-20000,Vegetarian,Chaotic,Neither,Based on my vibe,I like hosting,Male
Noida,Sector 137,25000-30000,Vegetarian,Organised,Neither,Clubbing/Going Out,I like being the guest,Male
Noida,Noida Ext/Gtr Noida Wst,25000-30000,Vegan,Organised,Neither,Clubbing/Going Out,I like hosting,Female
Noida,Sector 76/77/78,15000-20000,Non Vegetarian,Organised,Neither,Clubbing/Going Out,I like being the guest,Female
Bangalore,Marathalli,<15000,Veg + Eggs,Messy but not unhygienic,Both,House Party Scenes,I like hosting,Female
Delhi,Central Delhi,20000-25000,Veg + Eggs,Organised,Neither,House Party Scenes,I like hosting,Female
Delhi,North Delhi,<15000,Non Vegetarian,Messy but not unhygienic,Both,Clubbing/Going Out,I like hosting,Female
Gurgaon,DLF4,20000-25000,Veg + Eggs,Messy but not unhygienic,Drink,Chill stay at home,I like being the guest,Male
Bangalore,Haralur,40000+,Vegetarian,Organised,Smoke,Based on my vibe,I like being the guest,Male
Gurgaon,Sector 48,20000-25000,Veg + Eggs,Organised,Drink,Chill stay at home,I like being the guest,Female
Noida,Sector 62,20000-25000,Non Vegetarian,Organised,Smoke,Clubbing/Going Out,I like hosting,Male
Noida,Noida Ext/Gtr Noida Wst,20000-25000,Pescetarian,Chaotic,Smoke,Clubbing/Going Out,I like hosting,Male
Bangalore,Electronic city,30000-40000,Vegan,Organised,Both,Clubbing/Going Out,I like hosting,Female
Bangalore,Electronic city,25000-30000,Vegetarian,Messy but not unhygienic,Smoke,Chill stay at home,I like hosting,Female
Gurgaon,DLF4,<15000,Pescetarian,Organised,Neither,Clubbing/Going Out,I like hosting,Female
Delhi,East Delhi,30000-40000,Non Vegetarian,Chaotic,Drink,Clubbing/Going Out,I like hosting,Female
Mumbai,Marine/Colaba,25000-30000,Non Vegetarian,Organised,Smoke,Clubbing/Going Out,I like being the guest,Male
Gurgaon,Sector 43,15000-20000,Pescetarian,Messy but not unhygienic,Smoke,House Party Scenes,I like hosting,Male
Mumbai,Lower Parel/Worli/Parel,<15000,Pescetarian,Messy but not unhygienic,Drink,House Party Scenes,I like hosting,Male
Gurgaon,DLF 2,20000-25000,Pescetarian,Chaotic,Drink,Based on my vibe,I like being the guest,Female
Mumbai,Andheri E,15000-20000,Pescetarian,Organised,Drink,House Party Scenes,I like hosting,Female
Gurgaon,Sector 43,25000-30000,Vegetarian,Organised,Drink,Clubbing/Going Out,I like hosting,Male
Gurgaon,Sector 43,<15000,Pescetarian,Messy but not unhygienic,Drink,Based on my vibe,I like being the guest,Female
Gurgaon,DLF 1,20000-25000,Veg + Eggs,Let the dust rot,Drink,House Party Scenes,I like being the guest,Male
Gurgaon,Sector 50,15000-20000,Pescetarian,OCD,Drink,Clubbing/Going Out,I like being the guest,Male
Mumbai,Bandra,25000-30000,Vegan,Messy but not unhygienic,Neither,House Party Scenes,I like being the guest,Male
Delhi,North Delhi,15000-20000,Vegetarian,Organised,Drink,Chill stay at home,I like hosting,Male
Mumbai,Andheri E,<15000,Vegan,Organised,Neither,Chill stay at home,I like hosting,Male
Gurgaon,Sector 50,20000-25000,Vegetarian,Let the dust rot,Drink,House Party Scenes,I like hosting,Female
Gurgaon,Sector 55/56,30000-40000,Vegan,Messy but not unhygienic,Neither,Chill stay at home,I like hosting,Male
Bangalore,Marathalli,25000-30000,Veg + Eggs,OCD,Neither,Clubbing/Going Out,I like being the guest,Male
Mumbai,Vile Parle,20000-25000,Vegan,Organised,Neither,Clubbing/Going Out,I like hosting,Female
Mumbai,Andheri E,<15000,Non Vegetarian,Let the dust rot,Neither,Clubbing/Going Out,I like being the guest,Male
Gurgaon,DLF 5,25000-30000,Non Vegetarian,Organised,Neither,Chill stay at home,I like being the guest,Male
Mumbai,Andheri E,<15000,Vegetarian,Organised,Neither,Clubbing/Going Out,I like hosting,Male
Delhi,East Delhi,15000-20000,Non Vegetarian,Messy but not unhygienic,Neither,Clubbing/Going Out,I like being the guest,Female
Bangalore,HSR Layout,<15000,Vegan,Messy but not unhygienic,Neither,Clubbing/Going Out,I like being the guest,Female
Noida,Sector 50,20000-25000,Pescetarian,Organised,Neither,Clubbing/Going Out,I like being the guest,Female
Gurgaon,Sushant Lok,<15000,Vegetarian,Messy but not unhygienic,Neither,Clubbing/Going Out,I like hosting,Female
Bangalore,Haralur,<15000,Vegan,Chaotic,Neither,Clubbing/Going Out,I like hosting,Male
Gurgaon,Udyog Vihar,15000-20000,Vegetarian,Chaotic,Drink,Chill stay at home,I like hosting,Female
Bangalore,Haralur,15000-20000,Pescetarian,Organised,Smoke,Clubbing/Going Out,I like being the guest,Male
Mumbai,Andheri W,15000-20000,Pescetarian,Organised,Smoke,Based on my vibe,I like being the guest,Female
Mumbai,Bandra,30000-40000,Pescetarian,Organised,Both,Chill stay at home,I like being the guest,Male
Gurgaon,DLF 5,40000+,Veg + Eggs,OCD,Drink,House Party Scenes,I like hosting,Female
Delhi,North Delhi,20000-25000,Vegan,Organised,Neither,Based on my vibe,I like hosting,Female
Gurgaon,DLF 3,15000-20000,Vegetarian,Organised,Drink,House Party Scenes,I like hosting,Female
Noida,Sector 62,25000-30000,Non Vegetarian,Messy but not unhygienic,Neither,Clubbing/Going Out,I like hosting,Female
Noida,Sector 18,<15000,Vegan,Organised,Neither,Chill stay at home,I like being the guest,Male
Gurgaon,DLF 2,<15000,Non Vegetarian,Organised,Both,Clubbing/Going Out,I like hosting,Male
Delhi,East Delhi,20000-25000,Pescetarian,Messy but not unhygienic,Neither,House Party Scenes,I like being the guest,Female
Mumbai,Borivali/Kandivali/Malad,25000-30000,Non Vegetarian,Messy but not unhygienic,Drink,Chill stay at home,I like being the guest,Male
Gurgaon,DLF4,15000-20000,Vegan,Organised,Drink,Chill stay at home,I like being the guest,Male
Delhi,Central Delhi,15000-20000,Pescetarian,Messy but not unhygienic,Drink,Clubbing/Going Out,I like being the guest,Female
Gurgaon,DLF 5,40000+,Non Vegetarian,Messy but not unhygienic,Drink,Based on my vibe,I like being the guest,Female
Noida,Sector 62,20000-25000,Veg + Eggs,OCD,Neither,House Party Scenes,I like hosting,Female
Gurgaon,DLF 5,40000+,Non Vegetarian,Messy but not unhygienic,Smoke,Based on my vibe,I like being the guest,Female
Mumbai,Marine/Colaba,25000-30000,Non Vegetarian,Chaotic,Smoke,House Party Scenes,I like hosting,Male
Delhi,North Delhi,<15000,Veg + Eggs,Let the dust rot,Neither,Based on my vibe,I like hosting,Male
Mumbai,Goregon,15000-20000,Vegetarian,Messy but not unhygienic,Neither,Based on my vibe,I like being the guest,Female
Bangalore,Whitefield,25000-30000,Veg + Eggs,Organised,Neither,House Party Scenes,I like being the guest,Female
Bangalore,Marathalli,20000-25000,Veg + Eggs,Let the dust rot,Smoke,Chill stay at home,I like being the guest,Female
Gurgaon,DLF4,20000-25000,Pescetarian,Messy but not unhygienic,Both,House Party Scenes,I like hosting,Female
Mumbai,Bandra,30000-40000,Non Vegetarian,Organised,Both,Chill stay at home,I like being the guest,Female
Delhi,East Delhi,20000-25000,Non Vegetarian,Chaotic,Drink,Chill stay at home,I like hosting,Male
Gurgaon,Sector 48,20000-25000,Non Vegetarian,Messy but not unhygienic,Neither,Chill stay at home,I like being the guest,Female
Delhi,Central Delhi,20000-25000,Vegan,OCD,Smoke,Chill stay at home,I like hosting,Female
Bangalore,Whitefield,15000-20000,Vegan,Messy but not unhygienic,Smoke,Based on my vibe,I like hosting,Female
Delhi,East Delhi,15000-20000,Vegetarian,Organised,Neither,Based on my vibe,I like being the guest,Female
Mumbai,Lower Parel/Worli/Parel,<15000,Non Vegetarian,Messy but not unhygienic,Both,Chill stay at home,I like being the guest,Female
Noida,Sector 50,30000-40000,Vegan,Organised,Drink,Clubbing/Going Out,I like being the guest,Male
Noida,Sector 76/77/78,15000-20000,Vegan,Organised,Neither,House Party Scenes,I like being the guest,Female
Mumbai,Andheri E,40000+,Vegetarian,Organised,Neither,Chill stay at home,I like being the guest,Female
Gurgaon,DLF 3,15000-20000,Vegetarian,Organised,Neither,House Party Scenes,I like hosting,Female
Gurgaon,DLF 2,20000-25000,Vegetarian,Chaotic,Neither,Based on my vibe,I like hosting,Female
Gurgaon,Sector 55/56,<15000,Pescetarian,Messy but not unhygienic,Drink,House Party Scenes,I like hosting,Male
Bangalore,HSR Layout,15000-20000,Non Vegetarian,OCD,Neither,Clubbing/Going Out,I like being the guest,Male
Gurgaon,Sector 43,20000-25000,Vegan,Chaotic,Neither,Based on my vibe,I like hosting,Male
Noida,Noida Ext/Gtr Noida Wst,15000-20000,Vegan,Chaotic,Smoke,Chill stay at home,I like being the guest,Female
Delhi,Central Delhi,25000-30000,Pescetarian,Organised,Smoke,Clubbing/Going Out,I like hosting,Male
Noida,Sector 137,20000-25000,Pescetarian,Let the dust rot,Drink,Clubbing/Going Out,I like being the guest,Female
Noida,Sector 137,15000-20000,Pescetarian,Organised,Drink,House Party Scenes,I like hosting,Female
Delhi,Central Delhi,25000-30000,Non Vegetarian,Organised,Both,Chill stay at home,I like hosting,Female
Noida,Sector 15/16/27,30000-40000,Pescetarian,Organised,Drink,House Party Scenes,I like being the guest,Female
Bangalore,Electronic city,25000-30000,Non Vegetarian,Organised,Smoke,House Party Scenes,I like hosting,Male
Mumbai,Bandra,15000-20000,Vegetarian,Messy but not unhygienic,Neither,Based on my vibe,I like hosting,Female
Mumbai,Lower Parel/Worli/Parel,20000-25000,Pescetarian,Organised,Both,Clubbing/Going Out,I like being the guest,Male
Noida,Sector 18,<15000,Pescetarian,Organised,Drink,Chill stay at home,I like hosting,Female
Mumbai,Goregon,<15000,Veg + Eggs,Let the dust rot,Neither,Clubbing/Going Out,I like hosting,Male
Mumbai,Andheri W,20000-25000,Non Vegetarian,Organised,Drink,House Party Scenes,I like being the guest,Female
Gurgaon,Sector 48,30000-40000,Vegan,Chaotic,Drink,Clubbing/Going Out,I like hosting,Female
Bangalore,Electronic city,20000-25000,Vegan,Organised,Smoke,Based on my vibe,I like hosting,Male
Mumbai,Borivali/Kandivali/Malad,30000-40000,Vegan,Messy but not unhygienic,Neither,House Party Scenes,I like being the guest,Female
Gurgaon,DLF 1,20000-25000,Pescetarian,Messy but not unhygienic,Drink,Clubbing/Going Out,I like being the guest,Male
Mumbai,Andheri E,<15000,Non Vegetarian,Organised,Both,Chill stay at home,I like hosting,Female
Delhi,South Delhi,40000+,Vegan,Messy but not unhygienic,Drink,Based on my vibe,I like being the guest,Female
Delhi,North Delhi,25000-30000,Vegetarian,Organised,Drink,House Party Scenes,I like being the guest,Female
Delhi,Central Delhi,30000-40000,Pescetarian,OCD,Neither,Clubbing/Going Out,I like hosting,Male
Delhi,East Delhi,40000+,Non Vegetarian,Messy but not unhygienic,Neither,House Party Scenes,I like hosting,Female
Noida,Sector 18,15000-20000,Veg + Eggs,Organised,Neither,Clubbing/Going Out,I like hosting,Female
Noida,Noida Ext/Gtr Noida Wst,<15000,Vegan,Organised,Neither,Based on my vibe,I like hosting,Male
Mumbai,Goregon,30000-40000,Pescetarian,Organised,Drink,Chill stay at home,I like being the guest,Male
Bangalore,Kormangla,40000+,Non Vegetarian,Organised,Drink,House Party Scenes,I like being the guest,Female
Noida,Sector 18,15000-20000,Veg + Eggs,Organised,Neither,Chill stay at home,I like hosting,Male
Gurgaon,Sector 48,<15000,Veg + Eggs,Organised,Neither,Based on my vibe,I like being the guest,Female
Gurgaon,DLF4,<15000,Pescetarian,OCD,Neither,Clubbing/Going Out,I like hosting,Female
Bangalore,Marathalli,20000-25000,Pescetarian,Organised,Drink,Clubbing/Going Out,I like being the guest,Female
Mumbai,Lower Parel/Worli/Parel,25000-30000,Non Vegetarian,Chaotic,Neither,Chill stay at home,I like hosting,Female
Mumbai,Borivali/Kandivali/Malad,<15000,Pescetarian,OCD,Drink,House Party Scenes,I like being the guest,Male
Noida,Sector 62,<15000,Non Vegetarian,Organised,Neither,House Party Scenes,I like hosting,Female
Noida,Sector 137,<15000,Vegan,Organised,Smoke,House Party Scenes,I like hosting,Male
